Thương hiệu,Dòng xe,Loại xe,Dung tích xe,Năm đăng ký,Số Km đã đi,Mô tả chi tiết,Giá
Honda,SH,Tay ga,150,2023,5000,Xe mới keng sang tên chính chủ máy zin,85.0
Honda,SH,Tay ga,125,2012,70000,Xe cũ đại tu chính chủ,8.0
Yamaha,Exciter,Tay côn/Moto,150,2020,20000,Xe đẹp máy zin chính chủ sang tên,25.5
Honda,Wave,Xe số,110,2018,30000,Xe số đi làm máy móc bình thường,60.0
Kawasaki,Z900,Tay côn/Moto,900,2022,10000,Moto phân khối lớn lướt đẹp keng chính chủ,110.0
Piaggio,Vespa,Tay ga,125,2019,25000,Xe Vespa Primavera nữ đi bảo dưỡng tốt,20.0
Honda,Vision,Tay ga,110,2021,15000,Xe Vision mới keng đi giữ gìn,7.5
Yamaha,NVX,Tay ga,155,2021,20000,Xe NVX máy móc êm ru chính chủ,17.5
Peugeot,Django,Tay ga,125,2021,15000,Xe tay ga Pháp nhập khẩu sang trọng,28.0
Honda,Air Blade,Tay ga,125,2020,18000,Xe AB 125 chạy êm bảo dưỡng định kỳ,32.0
Suzuki,Raider,Tay côn/Moto,150,2021,12000,Xe côn tay Raider 150 nguyên bản chính chủ,36.0
Yamaha,Sirius,Xe số,110,2019,22000,Xe Sirius bánh mâm đĩa chính chủ,12.0
Honda,Lead,Tay ga,125,2020,15000,Xe Lead cốp rộng chính chủ nữ dùng,34.0
SYM,Attila,Tay ga,125,2017,35000,Xe SYM chạy đi chợ mượt mà,6.5
Honda,SH Mode,Tay ga,125,2020,12500,Xe SH Mode nữ dùng kỹ sang tên ngay,47.0
